n_levels,seed,curve_id,curve_idx,vr_class,kind,ordinal,center_va,segment_rmse,segment_d1_rmse,segment_d2_rmse,extremum_position_error,extremum_amplitude_error,contrast_error
4,0,3,2,6.0,valley,1,36.5,0.031537001478160465,0.029540566667033707,0.032379863256350616,-0.5,-0.012938141822814941,0.012372493743896484
4,0,3,2,6.0,valley,2,47.5,0.09284718917212648,0.05400698259517546,0.05526160433452026,0.0,0.10591286420822144,0.012372493743896484
4,0,3,2,6.0,valley,3,59.0,0.09498657103586497,0.06488493631745051,0.05922295225291075,0.0,0.12469148635864258,0.012372493743896484
4,0,3,2,6.0,valley,4,71.0,0.08182406024973611,0.06698486544192736,0.06940789157047787,0.0,0.10271406173706055,0.012372493743896484
4,0,4,3,8.0,peak,1,33.0,0.040029893560238186,0.021274645794030555,0.013957541363262788,-0.5,0.03467625379562378,0.024707794189453125
4,0,4,3,8.0,peak,2,43.5,0.02059665732332132,0.019622611372879264,0.031433990112768984,0.0,0.006992220878601074,0.024707794189453125
4,0,4,3,8.0,peak,3,55.0,0.021078452859050932,0.02320709575187378,0.03844546846076079,-0.5,0.004673480987548828,0.024707794189453125
4,0,4,3,8.0,peak,4,66.5,0.016135544201895915,0.022261202530983473,0.05995902339329928,0.0,-0.008711576461791992,0.024707794189453125
4,0,4,3,8.0,valley,1,37.0,0.023574730314348938,0.020566337196035133,0.019897700794673588,0.0,0.004437565803527832,0.024707794189453125
4,0,4,3,8.0,valley,2,48.5,0.09192393754133417,0.04895889929370167,0.06775700824100375,0.0,0.12751716375350952,0.024707794189453125
4,0,4,3,8.0,valley,3,60.0,0.07302028516364803,0.06667249665219921,0.0879888889429361,0.0,0.09799563884735107,0.024707794189453125
4,0,4,3,8.0,valley,4,72.0,0.04696592686014643,0.05174247432611269,0.06713524500548229,0.0,0.06606495380401611,0.024707794189453125
4,0,5,4,10.0,peak,1,34.0,0.09650708225809355,0.0336952450747716,0.013751523549719808,-0.5,0.09602946043014526,0.06133532524108887
4,0,5,4,10.0,peak,2,44.5,0.05444083218718458,0.030422955945822158,0.018648675233283438,-0.5,0.042108893394470215,0.06133532524108887
4,0,5,4,10.0,peak,3,56.0,0.04615579741632193,0.04673003783865489,0.045286575438436706,-0.5,0.008395075798034668,0.06133532524108887
4,0,5,4,10.0,peak,4,67.5,0.040344516110578967,0.03860975062752619,0.06098892156719564,0.0,-0.018768668174743652,0.06133532524108887
4,0,5,4,10.0,valley,1,38.5,0.06920875388761356,0.0385831802049957,0.029434234512129103,-0.5,0.04807969927787781,0.06133532524108887
4,0,5,4,10.0,valley,2,50.0,0.11868661362463644,0.04947875674502795,0.042058459391696314,-0.5,0.13178804516792297,0.06133532524108887
4,0,5,4,10.0,valley,3,61.5,0.06111928272846527,0.05928481253197629,0.03952563075768158,-0.5,0.02903088927268982,0.06133532524108887
4,0,5,4,10.0,valley,4,73.0,0.04883297482791969,0.04503759972960889,0.033359141227742146,0.0,0.0003585219383239746,0.06133532524108887
4,1,1,0,0.0,peak,1,42.5,0.024025688347392424,0.011623829246692773,0.018774637620213534,-0.5,0.027071118354797363,0.07523009181022644
4,1,1,0,0.0,peak,2,53.0,0.06545318672701453,0.02600641363128195,0.029172974357998566,0.5,0.07590794563293457,0.07523009181022644
4,1,1,0,0.0,peak,3,64.0,0.08519523223254279,0.05012235149267507,0.03194512567619118,1.0,0.082122802734375,0.07523009181022644
4,1,1,0,0.0,peak,4,75.5,0.06453988877441619,0.059720990088369945,0.034637711225701355,1.5,0.04196357727050781,0.07523009181022644
4,1,1,0,0.0,valley,1,44.0,0.020677808793397222,0.03066314770482942,0.02021971239745748,1.5,0.006556391716003418,0.07523009181022644
4,1,1,0,0.0,valley,2,55.5,0.056648896699458294,0.06034915484278845,0.0330540414424077,2.0,0.05680203437805176,0.07523009181022644
4,1,1,0,0.0,valley,3,67.0,0.09857301876416906,0.08457686632503189,0.05076227667476692,2.5,0.10983490943908691,0.07523009181022644
4,1,2,1,4.0,peak,1,42.5,0.034149922011027095,0.028563446614793223,0.028750575550538924,-0.5,-0.023609638214111328,0.060794152319431305
4,1,2,1,4.0,peak,2,53.5,0.028308739155279747,0.025436941467730192,0.033907738582155005,0.0,0.019730448722839355,0.060794152319431305
4,1,2,1,4.0,peak,3,65.0,0.02727503308029535,0.01624587427527395,0.03592534433341591,0.0,0.03355908393859863,0.060794152319431305
4,1,2,1,4.0,peak,4,77.0,0.01861797695878936,0.019715404643883033,0.03629490803555258,0.0,0.010708093643188477,0.060794152319431305
4,1,2,1,4.0,valley,1,35.5,0.04596248981345141,0.030944151072517502,0.024769448810514422,-0.5,-0.04237198829650879,0.060794152319431305
4,1,2,1,4.0,valley,2,46.5,0.05045082566432537,0.036417991818403855,0.030681099307318424,0.0,0.04647552967071533,0.060794152319431305
4,1,2,1,4.0,valley,3,58.0,0.049267620412754384,0.04706132364386575,0.04607551526945622,0.0,0.0682750940322876,0.060794152319431305
4,1,2,1,4.0,valley,4,69.5,0.044843271822353044,0.0517314618081981,0.04839654610809352,0.5,0.06434190273284912,0.060794152319431305
4,1,3,2,6.0,peak,1,32.5,0.02882150685207976,0.02670650411923275,0.016080887221843445,10.5,0.007055819034576416,0.012372493743896484
4,1,3,2,6.0,peak,2,43.0,0.03580221087904897,0.026832217524960924,0.03193480749468385,0.0,-0.026868700981140137,0.012372493743896484
4,1,3,2,6.0,peak,3,54.0,0.02300274259499856,0.021359749186021636,0.033168361660214266,0.0,-0.00426936149597168,0.012372493743896484
4,1,3,2,6.0,peak,4,66.0,0.008463059935536834,0.013185198351020269,0.03626815249947307,0.0,0.0001251697540283203,0.012372493743896484
4,1,3,2,6.0,peak,5,77.5,0.026826923756502915,0.026408327847062048,0.05875339414257496,0.0,-0.012372493743896484,0.012372493743896484
4,1,3,2,6.0,valley,1,36.5,0.031537001478160465,0.029540566667033707,0.032379863256350616,-0.5,-0.012938141822814941,0.012372493743896484
4,1,3,2,6.0,valley,2,47.5,0.09284718917212648,0.05400698259517546,0.05526160433452026,0.0,0.10591286420822144,0.012372493743896484
4,1,3,2,6.0,valley,3,59.0,0.09498657103586497,0.06488493631745051,0.05922295225291075,0.0,0.12469148635864258,0.012372493743896484
4,1,3,2,6.0,valley,4,71.0,0.08182406024973611,0.06698486544192736,0.06940789157047787,0.0,0.10271406173706055,0.012372493743896484
4,1,4,3,8.0,peak,1,33.0,0.040029893560238186,0.021274645794030555,0.013957541363262788,-0.5,0.03467625379562378,0.024707794189453125
4,1,4,3,8.0,peak,2,43.5,0.02059665732332132,0.019622611372879264,0.031433990112768984,0.0,0.006992220878601074,0.024707794189453125
4,1,4,3,8.0,peak,3,55.0,0.021078452859050932,0.02320709575187378,0.03844546846076079,-0.5,0.004673480987548828,0.024707794189453125
4,1,4,3,8.0,peak,4,66.5,0.016135544201895915,0.022261202530983473,0.05995902339329928,0.0,-0.008711576461791992,0.024707794189453125
4,1,4,3,8.0,valley,1,37.0,0.023574730314348938,0.020566337196035133,0.019897700794673588,0.0,0.004437565803527832,0.024707794189453125
4,1,4,3,8.0,valley,2,48.5,0.09192393754133417,0.04895889929370167,0.06775700824100375,0.0,0.12751716375350952,0.024707794189453125
4,1,4,3,8.0,valley,3,60.0,0.07302028516364803,0.06667249665219921,0.0879888889429361,0.0,0.09799563884735107,0.024707794189453125
4,1,4,3,8.0,valley,4,72.0,0.04696592686014643,0.05174247432611269,0.06713524500548229,0.0,0.06606495380401611,0.024707794189453125
4,1,5,4,10.0,peak,1,34.0,0.09650708225809355,0.0336952450747716,0.013751523549719808,-0.5,0.09602946043014526,0.06133532524108887
4,1,5,4,10.0,peak,2,44.5,0.05444083218718458,0.030422955945822158,0.018648675233283438,-0.5,0.042108893394470215,0.06133532524108887
4,1,5,4,10.0,peak,3,56.0,0.04615579741632193,0.04673003783865489,0.045286575438436706,-0.5,0.008395075798034668,0.06133532524108887
4,1,5,4,10.0,peak,4,67.5,0.040344516110578967,0.03860975062752619,0.06098892156719564,0.0,-0.018768668174743652,0.06133532524108887
4,1,5,4,10.0,valley,1,38.5,0.06920875388761356,0.0385831802049957,0.029434234512129103,-0.5,0.04807969927787781,0.06133532524108887
4,1,5,4,10.0,valley,2,50.0,0.11868661362463644,0.04947875674502795,0.042058459391696314,-0.5,0.13178804516792297,0.06133532524108887
4,1,5,4,10.0,valley,3,61.5,0.06111928272846527,0.05928481253197629,0.03952563075768158,-0.5,0.02903088927268982,0.06133532524108887
4,1,5,4,10.0,valley,4,73.0,0.04883297482791969,0.04503759972960889,0.033359141227742146,0.0,0.0003585219383239746,0.06133532524108887
4,2,1,0,0.0,peak,1,42.5,0.024025688347392424,0.011623829246692773,0.018774637620213534,-0.5,0.027071118354797363,0.07523009181022644
4,2,1,0,0.0,peak,2,53.0,0.06545318672701453,0.02600641363128195,0.029172974357998566,0.5,0.07590794563293457,0.07523009181022644
4,2,1,0,0.0,peak,3,64.0,0.08519523223254279,0.05012235149267507,0.03194512567619118,1.0,0.082122802734375,0.07523009181022644
4,2,1,0,0.0,peak,4,75.5,0.06453988877441619,0.059720990088369945,0.034637711225701355,1.5,0.04196357727050781,0.07523009181022644
4,2,1,0,0.0,valley,1,44.0,0.020677808793397222,0.03066314770482942,0.02021971239745748,1.5,0.006556391716003418,0.07523009181022644
4,2,1,0,0.0,valley,2,55.5,0.056648896699458294,0.06034915484278845,0.0330540414424077,2.0,0.05680203437805176,0.07523009181022644
4,2,1,0,0.0,valley,3,67.0,0.09857301876416906,0.08457686632503189,0.05076227667476692,2.5,0.10983490943908691,0.07523009181022644
4,2,2,1,4.0,peak,1,42.5,0.034149922011027095,0.028563446614793223,0.028750575550538924,-0.5,-0.023609638214111328,0.060794152319431305
4,2,2,1,4.0,peak,2,53.5,0.028308739155279747,0.025436941467730192,0.033907738582155005,0.0,0.019730448722839355,0.060794152319431305
4,2,2,1,4.0,peak,3,65.0,0.02727503308029535,0.01624587427527395,0.03592534433341591,0.0,0.03355908393859863,0.060794152319431305
4,2,2,1,4.0,peak,4,77.0,0.01861797695878936,0.019715404643883033,0.03629490803555258,0.0,0.010708093643188477,0.060794152319431305
4,2,2,1,4.0,valley,1,35.5,0.04596248981345141,0.030944151072517502,0.024769448810514422,-0.5,-0.04237198829650879,0.060794152319431305
4,2,2,1,4.0,valley,2,46.5,0.05045082566432537,0.036417991818403855,0.030681099307318424,0.0,0.04647552967071533,0.060794152319431305
4,2,2,1,4.0,valley,3,58.0,0.049267620412754384,0.04706132364386575,0.04607551526945622,0.0,0.0682750940322876,0.060794152319431305
4,2,2,1,4.0,valley,4,69.5,0.044843271822353044,0.0517314618081981,0.04839654610809352,0.5,0.06434190273284912,0.060794152319431305
4,2,3,2,6.0,peak,1,32.5,0.02882150685207976,0.02670650411923275,0.016080887221843445,10.5,0.007055819034576416,0.012372493743896484
4,2,3,2,6.0,peak,2,43.0,0.03580221087904897,0.026832217524960924,0.03193480749468385,0.0,-0.026868700981140137,0.012372493743896484
4,2,3,2,6.0,peak,3,54.0,0.02300274259499856,0.021359749186021636,0.033168361660214266,0.0,-0.00426936149597168,0.012372493743896484
4,2,3,2,6.0,peak,4,66.0,0.008463059935536834,0.013185198351020269,0.03626815249947307,0.0,0.0001251697540283203,0.012372493743896484
4,2,3,2,6.0,peak,5,77.5,0.026826923756502915,0.026408327847062048,0.05875339414257496,0.0,-0.012372493743896484,0.012372493743896484
4,2,3,2,6.0,valley,1,36.5,0.031537001478160465,0.029540566667033707,0.032379863256350616,-0.5,-0.012938141822814941,0.012372493743896484
4,2,3,2,6.0,valley,2,47.5,0.09284718917212648,0.05400698259517546,0.05526160433452026,0.0,0.10591286420822144,0.012372493743896484
4,2,3,2,6.0,valley,3,59.0,0.09498657103586497,0.06488493631745051,0.05922295225291075,0.0,0.12469148635864258,0.012372493743896484
4,2,3,2,6.0,valley,4,71.0,0.08182406024973611,0.06698486544192736,0.06940789157047787,0.0,0.10271406173706055,0.012372493743896484
4,2,4,3,8.0,peak,1,33.0,0.040029893560238186,0.021274645794030555,0.013957541363262788,-0.5,0.03467625379562378,0.024707794189453125
4,2,4,3,8.0,peak,2,43.5,0.02059665732332132,0.019622611372879264,0.031433990112768984,0.0,0.006992220878601074,0.024707794189453125
4,2,4,3,8.0,peak,3,55.0,0.021078452859050932,0.02320709575187378,0.03844546846076079,-0.5,0.004673480987548828,0.024707794189453125
4,2,4,3,8.0,peak,4,66.5,0.016135544201895915,0.022261202530983473,0.05995902339329928,0.0,-0.008711576461791992,0.024707794189453125
4,2,4,3,8.0,valley,1,37.0,0.023574730314348938,0.020566337196035133,0.019897700794673588,0.0,0.004437565803527832,0.024707794189453125
4,2,4,3,8.0,valley,2,48.5,0.09192393754133417,0.04895889929370167,0.06775700824100375,0.0,0.12751716375350952,0.024707794189453125
4,2,4,3,8.0,valley,3,60.0,0.07302028516364803,0.06667249665219921,0.0879888889429361,0.0,0.09799563884735107,0.024707794189453125
4,2,4,3,8.0,valley,4,72.0,0.04696592686014643,0.05174247432611269,0.06713524500548229,0.0,0.06606495380401611,0.024707794189453125
4,2,5,4,10.0,peak,1,34.0,0.09650708225809355,0.0336952450747716,0.013751523549719808,-0.5,0.09602946043014526,0.06133532524108887
4,2,5,4,10.0,peak,2,44.5,0.05444083218718458,0.030422955945822158,0.018648675233283438,-0.5,0.042108893394470215,0.06133532524108887
4,2,5,4,10.0,peak,3,56.0,0.04615579741632193,0.04673003783865489,0.045286575438436706,-0.5,0.008395075798034668,0.06133532524108887
4,2,5,4,10.0,peak,4,67.5,0.040344516110578967,0.03860975062752619,0.06098892156719564,0.0,-0.018768668174743652,0.06133532524108887
4,2,5,4,10.0,valley,1,38.5,0.06920875388761356,0.0385831802049957,0.029434234512129103,-0.5,0.04807969927787781,0.06133532524108887
4,2,5,4,10.0,valley,2,50.0,0.11868661362463644,0.04947875674502795,0.042058459391696314,-0.5,0.13178804516792297,0.06133532524108887
4,2,5,4,10.0,valley,3,61.5,0.06111928272846527,0.05928481253197629,0.03952563075768158,-0.5,0.02903088927268982,0.06133532524108887
4,2,5,4,10.0,valley,4,73.0,0.04883297482791969,0.04503759972960889,0.033359141227742146,0.0,0.0003585219383239746,0.06133532524108887
5,0,1,0,0.0,peak,1,42.5,0.017578457092010488,0.009604108264458793,0.01693636181788725,0.0,0.022167444229125977,0.021434739232063293
5,0,1,0,0.0,peak,2,53.0,0.07085986303207371,0.024861626300475254,0.023049426614333908,0.5,0.0799722671508789,0.021434739232063293
5,0,1,0,0.0,peak,3,64.0,0.0997681314382063,0.048799530049489406,0.02993153967145944,1.0,0.10191679000854492,0.021434739232063293
5,0,1,0,0.0,peak,4,75.5,0.07736322994450215,0.059488757682047755,0.03872028480283941,1.5,0.06678080558776855,0.021434739232063293
5,0,1,0,0.0,valley,1,44.0,0.019176176756435178,0.030103336897681608,0.02111794245655293,1.5,0.005500197410583496,0.021434739232063293
5,0,1,0,0.0,valley,2,55.5,0.06257354443156089,0.06126193571280383,0.033380088797326,2.0,0.06459164619445801,0.021434739232063293
5,0,1,0,0.0,valley,3,67.0,0.11423180583045639,0.08420791172319605,0.05164998202768775,2.5,0.12880825996398926,0.021434739232063293
5,0,2,1,4.0,peak,1,42.5,0.03006765994666624,0.025288377469269794,0.02659882874043156,-0.5,-0.021571755409240723,0.062071315944194794
5,0,2,1,4.0,peak,2,53.5,0.02822062597309898,0.02399627454759317,0.03594552198103205,0.0,0.016952157020568848,0.062071315944194794
5,0,2,1,4.0,peak,3,65.0,0.030601722982750167,0.013993704982058586,0.024955114323823878,0.0,0.03578066825866699,0.062071315944194794
5,0,2,1,4.0,peak,4,77.0,0.021966521881355054,0.02337126050770332,0.041964451304439696,0.0,-0.0015323162078857422,0.062071315944194794
5,0,2,1,4.0,valley,1,35.5,0.042254447873063594,0.028440273146981096,0.025039891506371082,-0.5,-0.04200667142868042,0.062071315944194794
5,0,2,1,4.0,valley,2,46.5,0.05299883814339858,0.03531467557431184,0.029970065579655043,0.0,0.05169260501861572,0.062071315944194794
5,0,2,1,4.0,valley,3,58.0,0.05272231329204278,0.0455167515852169,0.04487998824926523,0.0,0.07112956047058105,0.062071315944194794
5,0,2,1,4.0,valley,4,69.5,0.05235654030756353,0.05315518404754478,0.05168569286292031,0.5,0.07396626472473145,0.062071315944194794
5,0,3,2,6.0,peak,1,32.5,0.030911364978000785,0.02449143157646973,0.014231401274698954,10.5,0.0216522216796875,0.012647867202758789
5,0,3,2,6.0,peak,2,43.0,0.03224222598572364,0.02350084631101237,0.027972608657304474,0.0,-0.02831578254699707,0.012647867202758789
5,0,3,2,6.0,peak,3,54.0,0.019940206388453455,0.02015170438971361,0.039391272395077045,0.0,0.004178166389465332,0.012647867202758789
5,0,3,2,6.0,peak,4,66.0,0.009546826097524785,0.015119732760628214,0.03254850312460176,0.0,-0.002989530563354492,0.012647867202758789
5,0,3,2,6.0,peak,5,77.5,0.03862359975838855,0.027433400034242213,0.04418858292448906,0.0,-0.012647867202758789,0.012647867202758789
5,0,3,2,6.0,valley,1,36.5,0.026856707348041086,0.025906949171290775,0.0325070112970905,-0.5,-0.016879618167877197,0.012647867202758789
5,0,3,2,6.0,valley,2,47.5,0.09359104500912571,0.05214825343330761,0.05367288722125324,0.0,0.10825216770172119,0.012647867202758789
5,0,3,2,6.0,valley,3,59.0,0.09622755143008267,0.0625164408463108,0.057096609225686594,0.0,0.12464261054992676,0.012647867202758789
5,0,3,2,6.0,valley,4,71.0,0.08674108295382695,0.07011770698373682,0.07046128560597933,0.0,0.10776472091674805,0.012647867202758789
5,0,4,3,8.0,peak,1,33.0,0.051059644642679834,0.021445349398388557,0.01454239800810325,-0.5,0.05056220293045044,0.024840354919433594
5,0,4,3,8.0,peak,2,43.5,0.018408014143811127,0.018366990813274572,0.032278319934206656,0.0,0.0016357898712158203,0.024840354919433594
5,0,4,3,8.0,peak,3,55.0,0.019530215004297864,0.0204665525933019,0.029844493796074067,-0.5,0.00374603271484375,0.024840354919433594
5,0,4,3,8.0,peak,4,66.5,0.02083872748420599,0.01874498833583658,0.03969600481616817,0.0,-0.0006133317947387695,0.024840354919433594
5,0,4,3,8.0,valley,1,37.0,0.016820758912734914,0.018018412275030506,0.019915091092116203,0.0,-0.004855334758758545,0.024840354919433594
5,0,4,3,8.0,valley,2,48.5,0.08733249952010852,0.04666373210138646,0.06653581574296262,0.0,0.12165534496307373,0.024840354919433594
5,0,4,3,8.0,valley,3,60.0,0.0697285999038568,0.06355633626174466,0.08641550836921633,0.0,0.09134882688522339,0.024840354919433594
5,0,4,3,8.0,valley,4,72.0,0.04433555097442999,0.05181456113238964,0.06565368099552124,0.0,0.062409281730651855,0.024840354919433594
5,0,5,4,10.0,peak,1,34.0,0.10641401401719637,0.03658536631742837,0.01613725428564022,-0.5,0.10974162817001343,0.05392885208129883
5,0,5,4,10.0,peak,2,44.5,0.04935685301576285,0.030177790105309223,0.029515162026161116,-0.5,0.033213913440704346,0.05392885208129883
5,0,5,4,10.0,peak,3,56.0,0.04613080785177313,0.04626363685516032,0.029954498812055558,-0.5,-0.0023108720779418945,0.05392885208129883
5,0,5,4,10.0,peak,4,67.5,0.04717328902004618,0.03888370053810889,0.030466052577398005,0.0,-0.018247246742248535,0.05392885208129883
5,0,5,4,10.0,valley,1,38.5,0.05242017985088684,0.03810484121537984,0.03086014579736707,-0.5,0.02356436848640442,0.05392885208129883
5,0,5,4,10.0,valley,2,50.0,0.1031907306103023,0.0463365869297126,0.0385123842147313,-0.5,0.11209070682525635,0.05392885208129883
5,0,5,4,10.0,valley,3,61.5,0.06580612800776686,0.06299050692097984,0.04350530813420957,-0.5,0.019861698150634766,0.05392885208129883
5,0,5,4,10.0,valley,4,73.0,0.048663356010317384,0.045448925098682084,0.032412568642797485,0.0,0.002297341823577881,0.05392885208129883
5,1,1,0,0.0,peak,1,42.5,0.017578457092010488,0.009604108264458793,0.01693636181788725,0.0,0.022167444229125977,0.021434739232063293
