n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
4,0,1,0.0,7,0.0593019600483415,0.04615182190452421,0.031223782770676674,1.3571428571428572,0.05717982564653669,2.8450000286102295,2.769769936800003,0.9735570857456279,True
4,0,2,4.0,8,0.03735948486478447,0.0320145744180832,0.03560014699963063,0.1875,0.03863397240638733,2.609999895095825,2.549205742776394,0.9767072203973406,True
4,0,3,6.0,9,0.047123473994895,0.03665659422776497,0.04360865715922768,1.2222222222222223,0.044105344348483615,2.499000072479248,2.4866275787353516,0.9950490222548806,True
4,0,4,8.0,8,0.04166567847799799,0.034288220364726965,0.04832185828927345,0.125,0.04388360679149628,2.2760000228881836,2.2512922286987305,0.9891442030136276,True
4,0,5,10.0,8,0.06691198163010174,0.042730292337297957,0.03538164520973559,0.375,0.04681990668177605,1.9759999513626099,1.914664626121521,0.9689598548831981,True
4,1,1,0.0,7,0.0593019600483415,0.04615182190452421,0.031223782770676674,1.3571428571428572,0.05717982564653669,2.8450000286102295,2.769769936800003,0.9735570857456279,True
4,1,2,4.0,8,0.03735948486478447,0.0320145744180832,0.03560014699963063,0.1875,0.03863397240638733,2.609999895095825,2.549205742776394,0.9767072203973406,True
4,1,3,6.0,9,0.047123473994895,0.03665659422776497,0.04360865715922768,1.2222222222222223,0.044105344348483615,2.499000072479248,2.4866275787353516,0.9950490222548806,True
4,1,4,8.0,8,0.04166567847799799,0.034288220364726965,0.04832185828927345,0.125,0.04388360679149628,2.2760000228881836,2.2512922286987305,0.9891442030136276,True
4,1,5,10.0,8,0.06691198163010174,0.042730292337297957,0.03538164520973559,0.375,0.04681990668177605,1.9759999513626099,1.914664626121521,0.9689598548831981,True
4,2,1,0.0,7,0.0593019600483415,0.04615182190452421,0.031223782770676674,1.3571428571428572,0.05717982564653669,2.8450000286102295,2.769769936800003,0.9735570857456279,True
