analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius
seed_jitter,original,4,7,3,12.593303680419922,0.08586188405752182,0.07731679752469063,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,4,7,4,13.965715408325195,0.15795359015464783,0.07731679752469063,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,4,8,1,11.500022888183594,0.35689881443977356,0.07727434933185577,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,4,8,2,11.739986419677734,0.3986298143863678,0.07727434933185577,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,4,8,3,12.597636222839355,0.08581624180078506,0.07727434933185577,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,4,8,4,13.97334098815918,0.15865518152713776,0.07727434933185577,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_008/full/scorecard.json,4,,
seed_jitter,original,4,9,1,11.500465393066406,0.3582424521446228,0.07725972682237625,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,4,9,2,11.741161346435547,0.39803120493888855,0.07725972682237625,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,4,9,3,12.596441268920898,0.08598045259714127,0.07725972682237625,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_009/full/scorecard.json,4,,
seed_jitter,original,4,9,4,13.971101760864258,0.15774589776992798,0.07725972682237625,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L04/seeds/seed_009/full/scorecard.json,4,,
