analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius,anchor_channel,anchor_energy_v,anchor_weight,matched_channel,energy_delta_v,matching_method
noise_perturbation,replicate_002,4,1,4,13.996011734008789,0.16248679161071777,0.08419015407562255,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,2.0,nan,4,13.96471881866455,0.15827499330043793,4,0.03129291534423828,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,2,1,11.485505104064941,0.31774216890335083,0.0842069372534752,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,2.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.014746665954589844,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,2,2,11.730816841125488,0.428977906703949,0.0842069372534752,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,2.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.008439064025878906,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,2,3,12.60696029663086,0.09058806300163269,0.0842069372534752,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,2.0,nan,3,12.59369945526123,0.08622404932975769,3,0.013260841369628906,minimum_total_absolute_energy_delta
noise_perturbation,replicate_002,4,2,4,13.996255874633789,0.1626918613910675,0.0842069372534752,output/sensitivity/uncertainty/noise_perturbation/replicate_002/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,2.0,nan,4,13.96471881866455,0.15827499330043793,4,0.03153705596923828,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,0,1,11.414925575256348,0.2435113489627838,0.08372958600521088,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,3.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.0853261947631836,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,0,2,11.64107894897461,0.5003458857536316,0.08372958600521088,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,3.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.09817695617675781,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,0,3,12.523290634155273,0.09454842656850815,0.08372958600521088,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,3.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.07040882110595703,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,0,4,13.948399543762207,0.16159436106681824,0.08372958600521088,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,3.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.01631927490234375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,1,1,11.41464614868164,0.24244001507759094,0.08368101418018341,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,3.0,nan,1,11.500251770019531,0.3593961000442505,1,-0.08560562133789062,minimum_total_absolute_energy_delta
noise_perturbation,replicate_003,4,1,2,11.641342163085938,0.5019633173942566,0.08368101418018341,output/sensitivity/uncertainty/noise_perturbation/replicate_003/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,3.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.09791374206542969,minimum_total_absolute_energy_delta
