n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
7,1,5,10.0,8,0.032948374682226104,0.01931633910158495,0.022274991805567204,0.1875,0.029516253620386124,1.9759999513626099,1.9120206832885742,0.9676218271007968,True
7,2,2,4.0,8,0.03482723772354634,0.02196176501499223,0.022350191957520856,0.1875,0.030982762575149536,2.609999895095825,2.5468524917960167,0.9758055916329874,True
7,2,3,6.0,9,0.03160327235733335,0.025014916159666528,0.029119845435318106,1.2222222222222223,0.0336752004093594,2.499000072479248,2.4793440848588943,0.9921344589634793,True
7,2,4,8.0,8,0.028592756797817035,0.02118715638140344,0.03423037500506926,0.0625,0.037753261625766754,2.2760000228881836,2.248898506164551,0.988092479590909,True
7,2,5,10.0,8,0.032948374682226104,0.01931633910158495,0.022274991805567204,0.1875,0.029516253620386124,1.9759999513626099,1.9120206832885742,0.9676218271007968,True
8,0,2,4.0,8,0.03497108170113758,0.02211598294638059,0.022891726440947203,0.1875,0.030621401965618134,2.609999895095825,2.545573428273201,0.9753155289608704,True
8,0,3,6.0,9,0.031216553728950085,0.024758358121956356,0.028973937650965793,1.2222222222222223,0.03262071477042304,2.499000072479248,2.477832840755582,0.9915297194438789,True
8,0,4,8.0,8,0.027685890901544413,0.020817214745710258,0.03499042814997033,0.0625,0.036645062267780304,2.2760000228881836,2.2481801509857178,0.9877768578107644,True
8,0,5,10.0,8,0.03366681363685045,0.01982712239739083,0.022429837686520016,0.1875,0.029648758471012115,1.9759999513626099,1.90902578830719,0.9661061919514543,True
8,1,2,4.0,8,0.03497108170113758,0.02211598294638059,0.022891726440947203,0.1875,0.030621401965618134,2.609999895095825,2.545573428273201,0.9753155289608704,True
8,1,3,6.0,9,0.031216553728950085,0.024758358121956356,0.028973937650965793,1.2222222222222223,0.03262071477042304,2.499000072479248,2.477832840755582,0.9915297194438789,True
8,1,4,8.0,8,0.027685890901544413,0.020817214745710258,0.03499042814997033,0.0625,0.036645062267780304,2.2760000228881836,2.2481801509857178,0.9877768578107644,True
8,1,5,10.0,8,0.03366681363685045,0.01982712239739083,0.022429837686520016,0.1875,0.029648758471012115,1.9759999513626099,1.90902578830719,0.9661061919514543,True
8,2,2,4.0,8,0.03497108170113758,0.02211598294638059,0.022891726440947203,0.1875,0.030621401965618134,2.609999895095825,2.545573428273201,0.9753155289608704,True
8,2,3,6.0,9,0.031216553728950085,0.024758358121956356,0.028973937650965793,1.2222222222222223,0.03262071477042304,2.499000072479248,2.477832840755582,0.9915297194438789,True
8,2,4,8.0,8,0.027685890901544413,0.020817214745710258,0.03499042814997033,0.0625,0.036645062267780304,2.2760000228881836,2.2481801509857178,0.9877768578107644,True
