n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
3,0,3,6.0,9,0.05972791384575044,0.04743601179351274,0.05185615216040786,1.3333333333333333,0.0589884188440111,2.499000072479248,2.4869701862335205,0.9951861200893073,True
3,0,4,8.0,8,0.056348173895122707,0.04847922282357458,0.0558717043811808,1.375,0.0626879334449768,2.2760000228881836,2.2603442668914795,0.9931213726541016,True
3,0,5,10.0,8,0.07127437096125866,0.05530309857687628,0.04405315393175269,0.5625,0.057684525847435,1.9759999513626099,1.9094895124435425,0.9663408701638868,True
3,1,1,0.0,7,0.07267459001787953,0.048831199669105256,0.03186250187499199,1.2142857142857142,0.07116179806845528,2.8450000286102295,2.8009110391139984,0.9845029915455683,True
3,1,2,4.0,8,0.05078191883406006,0.03942717873445257,0.04343173238782278,0.3125,0.04998929798603058,2.609999895095825,2.5380943566560745,0.9724499841648037,True
3,1,3,6.0,9,0.05972791384575044,0.04743601179351274,0.05185615216040786,1.3333333333333333,0.0589884188440111,2.499000072479248,2.4869701862335205,0.9951861200893073,True
3,1,4,8.0,8,0.056348173895122707,0.04847922282357458,0.0558717043811808,1.375,0.0626879334449768,2.2760000228881836,2.2603442668914795,0.9931213726541016,True
3,1,5,10.0,8,0.07127437096125866,0.05530309857687628,0.04405315393175269,0.5625,0.057684525847435,1.9759999513626099,1.9094895124435425,0.9663408701638868,True
3,2,1,0.0,7,0.07267459001787953,0.048831199669105256,0.03186250187499199,1.2142857142857142,0.07116179806845528,2.8450000286102295,2.8009110391139984,0.9845029915455683,True
3,2,2,4.0,8,0.05078191883406006,0.03942717873445257,0.04343173238782278,0.3125,0.04998929798603058,2.609999895095825,2.5380943566560745,0.9724499841648037,True
3,2,3,6.0,9,0.05972791384575044,0.04743601179351274,0.05185615216040786,1.3333333333333333,0.0589884188440111,2.499000072479248,2.4869701862335205,0.9951861200893073,True
